read_date,user_uuid,category,journalist_id,language,length,country,subscription_date,platform,article_id,stars,read_month,user_type,total_reads,unique_categories,cluster,persona
2023-02-22,190,art,122,fr,short,fr,2021-06-28,pc,511945,5,2023-02,Moderato,5,4,0,Esploratore
2021-02-25,243,art,117,it,short,it,2020-08-24,tablet,5128,3,2021-02,Moderato,3,3,1,Esploratore
2023-12-19,36,weather,115,en,long,uk,2021-02-07,tablet,733403,5,2023-12,Occasionale,2,2,1,Mordi e Fuggi
2023-03-27,162,finance,111,it,short,it,2022-09-06,tablet,612638,1,2023-03,Moderato,5,3,0,Esploratore
2023-10-22,181,economy,119,fr,short,fr,2020-12-09,tablet,211458,3,2023-10,Fedele,10,6,2,Super Lettore
2023-02-08,163,art,120,fr,long,fr,2022-11-28,tablet,531439,4,2023-02,Fedele,7,4,2,Super Lettore
2022-02-18,170,finance,122,it,short,it,2021-10-07,mobile,612187,1,2022-02,Moderato,5,3,0,Esploratore
2023-09-18,221,weather,110,en,medium,uk,2021-04-25,tablet,723993,5,2023-09,Fedele,7,5,2,Super Lettore
2023-09-05,208,finance,117,en,medium,uk,2022-11-20,tablet,623177,2,2023-09,Fedele,6,3,0,Super Lettore
2023-07-20,219,finance,116,it,short,it,2021-12-24,pc,6123,2,2023-07,Fedele,8,6,2,Super Lettore
2023-05-21,206,weather,111,en,medium,uk,2020-11-07,pc,723610,4,2023-05,Moderato,4,2,1,Esploratore
2023-08-13,90,sport,113,it,medium,it,2022-03-13,tablet,32252,2,2023-08,Fedele,8,3,2,Super Lettore
2023-05-11,15,weather,107,en,long,uk,2022-05-13,pc,733412,2,2023-05,Fedele,6,5,0,Super Lettore
2021-07-08,157,weather,111,it,long,it,2020-02-12,tablet,732766,5,2021-07,Fedele,12,6,2,Super Lettore
2023-07-26,12,lifestyle,116,it,short,it,2022-08-21,mobile,112510,3,2023-07,Moderato,3,3,1,Esploratore
2023-03-02,31,finance,117,it,medium,it,2022-09-07,tablet,622848,1,2023-03,Moderato,3,2,1,Esploratore
2023-10-24,194,news,115,it,short,it,2021-08-21,mobile,612855,2,2023-10,Moderato,4,4,0,Esploratore
2022-05-10,71,finance,104,it,long,it,2021-05-10,tablet,632401,1,2022-05,Moderato,5,3,0,Esploratore
2021-04-17,181,sport,114,en,short,uk,2020-12-09,pc,313130,1,2021-04,Fedele,10,6,2,Super Lettore
2023-09-17,242,finance,115,fr,long,fr,2021-10-06,tablet,631847,1,2023-09,Occasionale,2,1,1,Mordi e Fuggi
2022-08-26,50,weather,106,en,short,uk,2021-02-18,pc,713623,3,2022-08,Moderato,3,2,1,Esploratore
2023-04-08,105,news,105,en,long,uk,2022-01-25,mobile,633862,2,2023-04,Moderato,5,4,0,Esploratore
2023-03-01,157,weather,109,fr,short,fr,2020-02-12,tablet,711175,3,2023-03,Fedele,12,6,2,Super Lettore
2023-11-21,237,economy,103,fr,long,fr,2022-03-23,tablet,231516,1,2023-11,Fedele,6,4,0,Super Lettore
2023-03-13,96,art,102,en,long,uk,2020-12-03,pc,5333,4,2023-03,Occasionale,1,1,1,Mordi e Fuggi
2022-03-26,157,lifestyle,103,en,medium,uk,2020-02-12,pc,123924,5,2022-03,Fedele,12,6,2,Super Lettore
2023-11-08,86,weather,121,it,medium,it,2022-11-14,tablet,722711,2,2023-11,Moderato,3,2,1,Esploratore
2022-09-22,14,lifestyle,112,it,long,it,2021-01-14,tablet,132589,1,2022-09,Fedele,7,6,2,Super Lettore
2022-06-20,102,sport,104,en,medium,uk,2021-05-10,tablet,323731,2,2022-06,Fedele,9,5,2,Super Lettore
2023-08-05,154,economy,110,en,long,uk,2022-06-27,pc,233287,5,2023-08,Moderato,4,3,0,Esploratore
2023-02-01,59,weather,101,fr,long,fr,2021-06-25,pc,731638,3,2023-02,Occasionale,2,2,1,Mordi e Fuggi
2023-09-03,139,finance,122,en,short,uk,2020-03-28,mobile,613114,1,2023-09,Moderato,4,4,0,Esploratore
2023-10-24,105,sport,117,it,medium,it,2022-01-25,mobile,32288,3,2023-10,Moderato,5,4,0,Esploratore
2023-07-14,128,economy,120,fr,long,fr,2021-01-26,mobile,231707,4,2023-07,Moderato,4,4,0,Esploratore
2023-09-27,75,sport,119,fr,long,fr,2021-07-20,tablet,331144,2,2023-09,Moderato,4,4,0,Esploratore
2023-08-14,6,weather,112,en,long,uk,2020-09-14,tablet,733764,5,2023-08,Fedele,7,4,2,Super Lettore
2023-03-26,131,weather,111,en,long,uk,2022-03-26,mobile,733527,3,2023-03,Moderato,5,3,0,Esploratore
2023-02-05,86,weather,119,it,medium,it,2022-11-14,tablet,722863,4,2023-02,Moderato,3,2,1,Esploratore
2022-05-12,85,sport,119,it,medium,it,2020-03-28,pc,322888,1,2022-05,Moderato,4,3,0,Esploratore
2023-06-14,28,sport,104,it,short,it,2022-06-01,tablet,312161,1,2023-06,Moderato,5,3,0,Esploratore
2022-11-28,205,economy,117,it,long,it,2021-01-22,tablet,23237,4,2022-11,Fedele,6,4,0,Super Lettore
2023-03-20,22,weather,122,it,short,it,2022-01-25,pc,712243,2,2023-03,Moderato,4,2,1,Esploratore
2023-05-03,142,weather,105,it,long,it,2022-05-20,tablet,732667,3,2023-05,Fedele,6,3,0,Super Lettore
2023-01-12,216,lifestyle,101,en,short,uk,2021-10-08,tablet,113178,5,2023-01,Occasionale,2,2,1,Mordi e Fuggi
2022-11-16,173,economy,113,en,medium,uk,2021-12-12,pc,223181,1,2022-11,Moderato,3,2,1,Esploratore
